,theta,avg_cost,max_cost,std_cost,cost_skewness,solver_obj,violations_rate,violations_penalty,total_violated_vol,total_violated_dispatch,pds_lat,wds_lat,T1,T2,gen_2,reliability,penalized_avg_obj
87,2.0,137690.85973843772,144018.69649390253,1847.9266595936654,0.10496234153271497,163.59766580983845,0.028,13112.790389217242,,,8,12,14,15,0,0.972,150803.65012765495
88,2.0,139056.3758359952,145508.51822236532,1857.6803826769597,0.07758591842611896,161.20550417289186,0.052,6248.561600927752,,,10,0,28,25,0,0.948,145304.93743692295
89,2.0,136840.53012303927,143689.07139447547,1886.776282548119,0.07388846148162538,162.44881354830108,0.052,11587.238400724278,,,10,2,25,29,0,0.948,148427.76852376355
90,2.0,137035.74646603767,143765.8529103655,1878.2290319682209,0.07284234813425795,162.750137178037,0.051,15064.54884902242,,,10,4,23,28,0,0.949,152100.2953150601
91,2.0,141501.70399452007,147625.23650572263,1790.7422915920383,0.06494309150316252,163.00367809243252,0.058,16649.48413578425,,,10,6,26,32,0,0.942,158151.1881303043
92,2.0,137426.31680371717,143645.55840841378,1861.006843778835,0.08625385697467738,163.2216790666915,0.048,17182.72873777782,,,10,8,18,30,0,0.952,154609.045541495
93,2.0,137565.13388473506,143967.28903005857,1856.5046813675083,0.09965890161949155,163.41714198321984,0.04,14049.073917312458,,,10,10,15,25,0,0.96,151614.20780204752
94,2.0,137708.44077655047,143989.88904982788,1852.022150162897,0.10409557464335606,163.5976768999869,0.028,13113.476776427087,,,10,12,14,15,0,0.972,150821.91755297757
95,2.0,136870.47977498127,143734.07432610774,1898.9020595055129,0.07506145748396859,161.34777453988687,0.063,7306.375907400626,,,12,0,28,37,0,0.937,144176.8556823819
96,2.0,136987.71914913994,143865.98159812271,1897.5582317688597,0.07918119152311458,161.19856337361065,0.042,9840.856603394637,,,12,2,21,22,0,0.958,146828.57575253458
97,2.0,137058.01115540895,143880.03358302877,1883.8380867259093,0.0781066205133707,162.75057463641514,0.051,15061.141339138221,,,12,4,23,28,0,0.949,152119.15249454716
98,2.0,137267.9292592084,143814.10940678642,1864.2670624545242,0.070723420274646,163.0040438728295,0.061,17196.94190199047,,,12,6,25,37,0,0.9390000000000001,154464.87116119888
99,2.0,137425.3325039476,143645.4294554711,1860.7136207597391,0.08611170131086418,163.2216919240816,0.048,17186.531497377335,,,12,8,18,30,0,0.952,154611.86400132492
100,2.0,137565.3849655412,143966.8324179704,1856.4864577181663,0.09971617918062664,163.41715526059096,0.04,14055.933140005542,,,12,10,15,25,0,0.96,151621.31810554673
101,2.0,137653.6404653265,143977.09388820513,1840.3614396471885,0.09491643053206035,163.59612527467397,0.039,19391.76366699171,,,12,12,24,16,0,0.961,157045.4041323182
102,2.5,136561.86129356915,143065.23353833816,1870.7233672377859,0.038193321436450114,157.41474418453473,0.016,1195.802056404068,3.9860068546802268,0.0,0,0,7,9,0,0.984,137757.6633499732
103,3.0,136647.14048381714,143169.8260149675,1873.7412989473612,0.03704866717205915,163.66749684562228,0.001,141.13538966392235,0.47045129887974113,0.0,0,0,1,0,0,0.999,136788.27587348106
104,3.0,136815.11032097423,144278.96171792032,1941.5984403426341,0.07877675974389052,174.12278016941966,0.002,57.75559758937945,,,0,0,1,1,0,0.998,136872.86591856362
105,3.0,137446.73398957797,145135.48275637178,1954.8063572584285,0.09357828985095612,175.11564392410494,0.0,0.0,,,0,2,0,0,0,1.0,137446.73398957797
106,3.0,137816.4011790637,145444.02282971787,1951.8639249764092,0.08584962074481639,175.54899999802487,0.001,373.00288921495445,,,0,4,1,0,0,0.999,138189.40406827864
107,3.0,138131.9811545397,145513.04393499158,1942.866958728875,0.0848480794965167,175.9286298384748,0.001,318.52142742851976,,,0,6,1,0,0,0.999,138450.50258196823
108,3.0,138399.69754152762,145286.1246208587,1930.405540208392,0.08863855289420865,176.25471351690712,0.001,56.34703157420908,,,0,8,1,0,0,0.999,138456.04457310183
109,3.0,138636.64405198317,145342.70814221917,1922.5036622933967,0.09978129746752648,176.5476747952318,0.002,47.03833533324051,,,0,10,1,1,0,0.998,138683.6823873164
110,3.0,138896.5160565304,145728.2343707978,1921.541964584091,0.10194106109640895,176.8182712307314,0.0,0.0,,,0,12,0,0,0,1.0,138896.5160565304
111,3.0,136842.5291600337,144335.5603720051,1945.0156922911929,0.08218995468566064,174.43668356634882,0.002,107.2005133518239,,,2,0,1,1,0,0.998,136949.72967338553
112,3.0,137328.46631866824,145001.16541177424,1950.1557476951732,0.0948283782643802,175.05877205590355,0.0,0.0,,,2,2,0,0,0,1.0,137328.46631866824
113,3.0,137763.27088256693,145407.43738056757,1957.0298991921286,0.08667578026816865,175.60807517641376,0.003,505.07339352331866,,,2,4,2,1,0,0.997,138268.34427609024
114,3.0,138051.998471502,145432.1589280518,1947.4317996337118,0.08558751838853483,175.98795816533118,0.001,462.3715422438732,,,2,6,1,0,0,0.999,138514.37001374588
115,3.0,138320.14144398415,145207.56612076555,1936.8258509201062,0.08890875347724704,176.31425546162222,0.001,219.249100694314,,,2,8,1,0,0,0.999,138539.39054467846
116,3.0,138586.14610891425,145351.35413779074,1935.0003164983032,0.10048981509062817,176.60740238622776,0.002,271.89189946931197,,,2,10,1,1,0,0.998,138858.03800838356
117,3.0,138813.1354320994,145682.18565381336,1932.5183112060513,0.10224118643379242,176.87816412698976,0.001,118.69259448994107,,,2,12,1,0,0,0.999,138931.82802658933
118,3.0,137810.32206038863,145250.5914344404,1937.1854602373824,0.08898044884424627,173.6516019763148,0.001,85.61964955560306,,,4,0,1,0,0,0.999,137895.94170994422
119,3.0,137272.35548479736,144951.35668688125,1947.8115116847594,0.0941433759004576,174.94771398369198,0.001,2.1725676523100645,,,4,2,0,1,0,0.999,137274.52805244966
120,3.0,137707.7673586181,145280.8492907284,1950.2816007852844,0.08392974274279959,175.6269760273865,0.003,718.5939342829588,,,4,4,2,1,0,0.997,138426.36129290104
121,3.0,138061.30039761908,145485.4839710371,1955.2084161819162,0.0854425169910524,176.00701023438765,0.001,539.6474182971115,,,4,6,1,0,0,0.999,138600.94781591618
122,3.0,138303.74818900507,145244.04616799188,1943.5029597066755,0.08998450769943428,176.33336114128653,0.001,306.73505933164444,,,4,8,1,0,0,0.999,138610.4832483367
123,3.0,138574.75728701983,145387.1994897544,1942.4719075295245,0.10222826363311233,176.62655318914213,0.002,451.37038185566144,,,4,10,1,1,0,0.998,139026.1276688755
124,3.0,138832.33100694162,145766.58193778372,1942.50533543705,0.10455793034107667,176.89735360412774,0.001,258.81662896630183,,,4,12,1,0,0,0.999,139091.14763590792
125,3.0,137032.07165749074,144529.41151640238,1946.8410514980555,0.08456184750619945,172.9624621819961,0.002,210.3044591897792,,,6,0,1,1,0,0.998,137242.37611668053
126,3.0,137847.5043930393,145423.12935400722,1933.7986900518729,0.08474673660110481,174.80212032059043,0.0,0.0,,,6,2,0,0,0,1.0,137847.5043930393
127,3.0,137586.08980381495,145139.37997022487,1941.3079366844345,0.08420568918444181,175.50961773258396,0.003,724.0902372315506,,,6,4,2,1,0,0.997,138310.1800410465
128,3.0,138057.28208526492,145479.6844381789,1956.558796816207,0.08574693545035142,176.00852565301398,0.001,548.0342182882321,,,6,6,1,0,0,0.999,138605.31630355315
129,3.0,138299.8994251399,145241.9765837878,1944.0919203523047,0.09070731229205982,176.33487986997892,0.001,316.38805390507906,,,6,8,1,0,0,0.999,138616.287479045
130,3.0,138551.43897577742,145331.64772811678,1940.7989933308963,0.10151549180497887,176.62807510923082,0.002,479.1891605983885,,,6,10,1,1,0,0.998,139030.6281363758
131,3.0,138780.9827694428,145682.86027756572,1939.549958036749,0.10158399791526389,176.89887801124266,0.001,281.77988975868794,,,6,12,1,0,0,0.999,139062.7626592015
132,3.0,137303.61463774974,144756.0856566315,1936.2485891251172,0.08424213532682882,174.0577459792049,0.002,182.94116844589254,,,8,0,1,1,0,0.998,137486.55580619563
133,3.0,137263.49995480626,144914.42906915492,1945.2952457153817,0.08773937127843767,175.1671018713786,0.0,0.0,,,8,2,0,0,0,1.0,137263.49995480626
134,3.0,137602.421741239,145186.06263933078,1943.187206859217,0.08608987547156384,175.56734942044696,0.003,719.2327930404108,,,8,4,2,1,0,0.997,138321.6545342794
135,3.0,138057.31517384725,145479.73619868577,1956.4794045351937,0.08572784478557711,176.00854137010418,0.001,548.4074080502562,,,8,6,1,0,0,0.999,138605.7225818975
136,3.0,138320.5044934918,145252.70336203053,1944.8722581447144,0.08979252196579474,176.33489546835693,0.001,316.8161848847415,,,8,8,1,0,0,0.999,138637.32067837656
137,3.0,138554.43812885266,145340.21388236538,1940.8904307478626,0.10197672657179598,176.62809020490153,0.002,479.4706875377408,,,8,10,1,1,0,0.998,139033.9088163904
138,3.0,138815.30776948942,145688.12677496314,1940.9383679874277,0.10161007080147079,176.89889282286464,0.001,282.0066765413724,,,8,12,1,0,0,0.999,139097.3144460308
